globalindex,lemma,lemmaindex,lleftcontext,lheadword,lrightcontext,gs_expert
-5,basket,0,"Sarah kept out of sight, then followed at a careful distance, swinging a ",basket,",",CONTAINER
-4,cup,0,He spilled his,cup,of coffee.,CONTENT
-3,box,0,We had to carry the ,box,once it was full.,DOT
-2,box,0,The,box, was remarkably large.,CONTAINER
-1,can,0,John ate the whole,can,.,CONTENT
0,bottle,1, But all 's well&#44etc .&#44because the stuff in the white,bottle,opens those bolls-- &#34 Man&#44does it open up those bolls . &#34 ,CONTAINER
1,bucket,1, Wearing a towel and bath-clogs&#44you will be shown to the steamy marble washroom&#44where,buckets,of hot water will be poured over you before an attendant sets to work with a coarse glove&#44removing dirt and dead skin and leaving you pink and glowing . ,DOT
2,container,1, Both tasks are uncontrolled manual processes and there is the potential for skin exposure from splashes and sprays and inhalation exposure due to vaporization of bulk chemical from open,containers,0,DOT
3,crate,1, In this election&#44gambling interests dropped $ 100 million on a single California ballot initiative&#44toppled governors in two states&#44and bought senators and representatives by the,crate,0,CONTENT
4,dish,1, Two superb paintings by an elderly Tintoretto flank the main altar&#44Gathering of the Manna and an otherworldly Last Supper&#44in which Jesus administers communion while servants bustle to clear up the,dishes,0,CONTAINER
5,jar,1, Similarly&#44putting up food often involves sealing it in,jars,later stored on shelves&#44as opposed to putting down a good supply of hay for your livestock . ,CONTAINER
6,keg,1, He stuck close to the,keg,&#44 smirked a lot&#44and got through the evening without getting puked on . ,CONTAINER
7,kettle,1, But photographs of them have been published and exhibited&#44and they represent an important step in the transfer of aesthetic interest from the teapot--with its long decorative history--to the,kettle,&#44 which genteel people had kept out of sight . ,CONTAINER
8,pint,1, The Taste-o-meter rating for each beer was calculated by dividing its corrected average preference rating by its price per,pint,. If Beer X had ratings twice as high as Beer Y&#44but it cost three times as much&#44Beer Y would have the higher Taste-o-meter rating . ,CONTENT
9,plate,1, The sequence for RRE ( Rev-response element ) has been previously published [ 10 ] . Streptavidin coated,plates,were obtained from Pierce ( Rockford&#44IL ) . ,CONTAINER
10,spoon,1, So&#44to hide them&#44I dropped a,spoon,on the floor . ,CONTAINER
11,vial,1, After 4 days&#44the fertile males were removed from the crosses&#44placed in individual numbered,vials,&#44 and passaged every two days until they were all dead . ,CONTAINER
12,bottle,2, In fact&#44the least she could do is throw in a,bottle,of free stain remover for your hundred bucks . ,CONTENT
13,bucket,2, This exposure would have been mitigated by the slot ventilation on the equipment at the point where the chemicals enter the,bucket,0,CONTAINER
14,container,2, Microcosms used for B and CW treatments were 1 . 0 liter polyethylene,containers,0,CONTAINER
15,crate,2, On Nov . 6 in New Jersey&#44volunteers opened,crates,and pulled out pheasants&#44then&#44holding them by the legs&#44spun the birds around to make them dizzy ; this is one feature of a program whose uneasy combination of private and state funding is drawing increasing criticism nationwide . ,CONTAINER
16,dish,2, 8 - 5 10 6 cells / 60 mm 15 mm polystyrene cell culture,dish,) were treated with ( 1 ) 1 mM domoic acid&#44( 2 ) LPS-free water used as a vehicle for domoic acid or ( 3 ) 10 ng / ml LPS in a final volume of 5 ml of DMEM supplemented with 10 % FBS + 120 U / ml P + 12 g / ml S and incubated in a humidified 5 % CO 2 incubator at 36 C for 1 to 6 h . ,CONTAINER
17,flask,2, As the Italian chemist Primo Levi dramatically was reminded when a,flask,blew up in which he was trying to refine benzene under wartime-scarcity conditions&#44one of several remarkable escapes from death recounted in his collection of autobiographical essays published as The Periodic Table ( Schocken&#44New York : 1984 ) . ,CONTAINER
18,keg,2, He ignites,kegs,of dynamite in his Aspen&#44Colo .&#44backyard . ,DOT
19,kettle,2, When I first saw the OXO,kettle,&#44 I resisted it . ,CONTAINER
20,pint,2, ( &#34 Per,pint,&#34 was the unit-pricing measure at the Safeway in Bellevue&#44Wash . ,CONTENT
21,spoon,2, ( Structural linguists do not like to deal with meaning&#44either&#44satisfied that the meaning of a word is the sum of its contexts-a perfectly valid argument if one allows context to include one 's mother telling an infant&#44Here&#44darling&#44eat another,spoon,of applesauce . ,CONTENT
22,vial,2, To celebrate the final episode of Melrose Place&#44Fox plans to fill hundreds of plastic,vials,with water from the MP swimming pool&#44as Jon Delfin presumably did not know when he submitted what he thought was a joke ( click ) . The vials will be used as prizes in radio station giveaways and other contests&#44according to TV Guide . ,CONTAINER
23,bottle,3, The IHD-J strain was grown as described previously [ 7 ] . TK - 143 B cells&#44grown in roller,bottles,&#44 were infected with the WR strain of the virus and incubated for 2 days at 37 C . ,CONTENT
24,bucket,3, Obviously&#44if the romantic idea is right&#44the upside is so immense that today 's $ 750 million rise in China . com 's market cap will be a mere drop in the,bucket,0,DOT
25,container,3, However&#44these,containers,may be repeatedly reused for storing uncontaminated waters&#44such as deionized or laboratory-prepared dilution waters and receiving waters . ,CONTAINER
26,crate,3, To ship a,crate,of lettuce across the country&#44a trucker needed permission from a federal regulatory agency . ,DOT
27,dish,3, However&#44plating cells onto a III 1 - C coated,dish,gave strong activation of ERK 1 / 2&#44which peaked at 30 min and remained relatively constant for the subsequent 30 min ( Fig . ,CONTAINER
28,keg,3, In fact&#44it was the social committee&#44and our chief responsibilities were to arrange for bands and,kegs,of beer . ,DOT
29,pint,3, Its capacity is printed on its side : 227 gallons&#442 quarts&#441,pint,&#44 3 gills ( some 868 liters ) . ,CONTENT
30,spoon,3, The maximum intake of non-breast milk fluid in the past week that was allowed in this definition of exclusive breastfeeding was set at 3 cucharillas ( teaspoons ) or 1 cuchara ( larger,spoon,) or 1 / 2 fluid ounce . ,CONTENT
31,vial,3, One microliter of the diluted product was then added to a mixture containing 12 l deionized formamide and 0 . 5 l molecular weight standard GS 350 TAMRA . The,vials,were denatured at 95 C / 5 min&#44cooled on ice&#44and resolved using a 310 Genetic Analyzer ( Perkin- Elmer ) . ,CONTAINER
32,bag,4, A Teletubbies spokesman says 1 ) Tinky Winky carries a &#34 magic,bag,&#44 &#34 not a purse ; 2 ) the magic bag &#34 does n't make him gay &#34 ; 3 ) &#34 to think we would be putting sexual innuendo in a children 's show is kind of outlandish &#34 ; and 4 ) Falwell is besmirching &#34 something sweet and innocent &#34 to advance his right-wing agenda . ,CONTAINER
33,bottle,4, The CO 2 was provided from a,bottle,of reagent-grade carbon dioxide ( &gt; 99 % purity ) as compressed gas and was scrubbed to remove traces of oxygen and water . ,DOT
34,flask,4, One week later&#44the VSMCs had outgrown from the tissue suspension&#44and were transferred to a new,flask,0,CONTAINER
35,pint,4, There s little time for recreation in this sometimes harsh environment&#44and though local residents may come across as pragmatic and single-minded&#44you ll find them in a more relaxed mood at the end of a hard day s work&#44enjoying a,pint,of beer and game of dominoes at the local pub . ,CONTENT
36,spoon,4, That is&#44if you can stand the noise produced by wooden,spoons,hitting Tupperware . ,CONTAINER
37,vial,4, To every,vial,60 ul of deionized water were added . ,DOT
38,bottle,5, Also&#44with heavy heart&#44the test administrator decided to leave malt liquors&#44such as Mickey 's ( with its trademark wide-mouth,bottles,)&#44off the list . ,CONTAINER
39,container,5, Sufficient ice should be placed with the sample in the shipping,container,to ensure that ice will still be present when the sample arrives at the laboratory and is unpacked . ,CONTAINER
40,crate,5, One magazine exec reportedly got so much loot last Christmas-- Cuban cigars&#44&#34,crates,of wine&#44&#34 designer suits ( &#34 It was like a Spanish galleon &#34 ) - - that he needed three cars to cart it home . ,DOT
41,jar,5, The town s priceless Bronze Age treasure&#44discovered in a clay,jar,in the riverbed&#44is exhibited in the Ayuntamiento ( Town Hall ) . ,CONTAINER
42,keg,5, Other school activies common in the early 19 th-century&#44according to Kett : wild student riots on college campuses&#44sometimes leading to the deaths of professors or locals ( in the 1820 s&#44Harvard students set off a,keg,of gunpowder ) ; high school duels involving knives or guns&#44sometimes culminating in the deaths of students ; scrimmages between higher and lower classes&#44sometimes leading to massive injuries on one side or the other&#44or both . ,DOT
43,pint,5, Talking about ( or in ) clichs&#44a columnist in The Independent recently commented on No problem : Why&#44she quoted a friend&#44when I ask for a,pint,&#44 should the barman feel it necessary to reassure me that I am not making an unreasonable request ? ,CONTENT
44,spoon,5, You ll also find lots of older pieces - not quite antique but still exquisite - in collectibles shops around the town in the form of pretty,spoons,&#44 ornate pill and snuff boxes&#44or letter openers . ,CONTAINER
45,vial,5, The,vial,was then inverted and screwed into a stand and placed daily in each female 's cage [ 15 ] . Females actively nuzzle the scentmarked vials&#44particularly during the first 5 minutes of exposure [ 11 ] . UGS smears were collected with a saline-moistened cotton swab every 1 - 3 days [ 15 ] . Body mass was recorded when smears were collected and growth rates ( g / week ) were calculated for each age and treatment group as the mass gained between the beginning of exposure ( day 90 ) and necropsy . ,CONTAINER
46,bottle,6, &#34 No&#44just be sure my car is plugged in to the charger and send up 12,bottles,of Vichy water . ,DOT
47,bucket,6, Prior to my firing the cannonball&#44I contrived to tie one end of a red rope around the axle of the paddle wheel and a modest size,bucket,to the other end of the rope . ,CONTAINER
48,container,6, So is hamburger already made into patties&#44or cheese that has been shredded&#44or 100 - percent-pure orange juice that comes in a,container,with a screw top . ) ,CONTAINER
49,crate,6, It was found that the number of NRL claims ( 65 ) were slightly higher than for those made arising from the use of office and business machinery ( 50 )&#44but less than those from tanks&#44vats and bins ( 81 )&#44cleaning tools ( 125 )&#44tables and worktables ( 162 )&#44pots&#44pans and trays ( 258 )&#44bags&#44sacks and totes ( 379 )&#44boxes &#44,crates,and cartons ( 498 )&#44and carts&#44dollies and handtrucks ( 689 ) . ,CONTAINER
50,flask,6, After incubation of the,flasks,for 2 h&#44the cells were washed twice&#44and then resuspended&#44in 5 ml phosphate buffered saline . ,DOT
51,glass,6, We also asked for the frequency of alcohol use&#44and this information was converted to daily grams of alcohol by multiplying each,glass,of beer&#44wine or spirits with its alcohol content ( adjusted to 100 ml of 12 % ethanol concentration ) . ,CONTENT
52,jar,6, The priest is named Thomas Aquinas--not&#44disappointingly&#44the reincarnated author of Summa Theologica but some old geezer who has cut out his own tongue and put it in a mayonnaise,jar,for reasons that it would take a second viewing of End of Days for me to figure out . ,CONTAINER
53,keg,6, On a dark night in mid- August 1775&#44several boats sailed into the dark harbor of Tobacco Bay near Fort St . Catherine and&#44in a daring and dangerous raid&#44stole 100,kegs,of gunpowder from the main ordnance store . ,DOT
54,kettle,6, The highlight is an art gallery&#44with paintings of the maharajas in very British&#44landed-gentry poses&#44and a glass case featuring a rolled gold replica of the British crown set between a tea,kettle,which is noticeably bigger than the coffee pot near it . ,CONTAINER
55,pint,6, The city s many pubs are the center of social life&#44offering conversation and a quiet,pint,&#44 food&#44music&#44and song . ,CONTENT
56,vial,6, [ 3 ] . Morphology of conceptuses collected following flushing from the uterine horns was recorded and conceptuses of identical morphologies were transferred to cryogenic,vials,&#44 snap-frozen in liquid nitrogen&#44and stored at - 80 C until extracted for RNA . ,CONTAINER
57,bag,7, The label my friendly hometown airline had affixed to my,bag,had unexpectedly made me a marked man&#44someone selected for some unknown special treatment . ,CONTAINER
58,container,7, Microcosm and mesocosm studies are commonly used in ecological studies of aquatic and terrestrial habitats [ 1 2 3 ] . Microcosms and mesocosms are generally subsets of communities and abiotic factors of particular ecosystems&#44with restricted exchange of matter and energy [ 3 ] . These,containers,are by definition smaller than the organism 's actual habitat&#44and controversy exists about the relevance of these studies because of the scaling of simulated habitats and the lack of replication and complexity [ 1 3 4 5 ] . There is often an implicit&#44and untested&#44assumption that scaling does n't affect experimental outcomes in microcosm studies [ 3 ] . ,CONTAINER
59,crate,7, However&#44as cannonballs would career over the deck because of the motion of the ship&#44they were kept in,crates,or on racks&#44and the nice-looking pyramids were probably just for show&#44as at monuments . ,CONTAINER
60,pint,7, ( While you 're there&#44pick up a,pint,of Haagen Dazs&#44as well . ) ,DOT
61,plate,7, Specimens were placed on,plates,with media selective for Candida growth ( Sabouraud 's dextrose agar ) . ,CONTAINER
62,pot,7, They continued to offer multithousand dollar jackpots : If a gambler hit the jackpot&#44he was simply paid $ 125 a day for as many days as it took to empty the,potl,0,DOT
63,spoon,7, Babies bang wooden,spoons,on overturned saucepans ; grannies rock so silently you can hear the creak of floorboards and hip bones . ,CONTAINER
64,vial,7, Dead flies were counted at each passage&#44and the number of,vials,was progressively reduced to maintain approximately 40 flies per vial . ,CONTAINER
65,bottle,8, [ She stumbles&#44the,bottle,between her hands&#44held up to release the last drops . ,CONTAINER
66,bucket,8, Now we can carry it ourselves in a solid gold,bucket,&#44 we 're so stinking rich ! &#34 ,CONTAINER
67,crate,8, Hemingway and I would carry the,crates,0,CONTAINER
68,flask,8, Plastic netting on glass beakers &#44,flasks,and other glassware minimizes breakage and subsequent shattering of the glass . ,CONTAINER
69,glass,8, 1 ) Buy Sam Adams when they want an individual,glass,of lager to be as good as it can be . ,CONTENT
70,kettle,8, If you ve become an adept of the tea ceremony&#44you ll appreciate the excellent collection of 14 th-century objects : ceramic tea bowls&#44tea,kettles,&#44 and caddies&#44as well as bamboo spoons&#44whisks&#44and flower vases . ,CONTAINER
71,pint,8, This is lined with duty-free shops selling liquor&#44perfume&#44cameras&#44CD players&#44video recorders&#44and electronic goods and British-style pubs serving,pints,of beer and bar lunches . ,CONTENT
72,pot,8, Unlike lotteries&#44which offer low odds but spectacular jackpots&#44video poker returns tiny but frequent,pots,0,CONTENT
73,vial,8, The supernatant was decanted into another,vial,and stored at 4 C . ,CONTAINER
74,bag,9, The Spy Who Shagged Me is better than anyone dared hope : bigger&#44more inventive&#44and more frolicsome than its predecessor&#44with a grab,bag,of scatological gags that are almost as riotous when you think back on them . ,CONTENT
75,bottle,9, They want to remain in&#44or return to&#44their infancy&#44when the nursing,bottle,was the cure for all discomfort and anxiety . ,DOT
76,bucket,9, Note the linking of spontaneous and nonspontaneous processes the arc of the cannonball imparting energy that winds the wheel and lifts the water-filled,bucket,0,DOT
77,container,9, [ From the text on a pint,container,of Hershey 's Chocolate Milk . ] ,CONTAINER
78,crate,9, Sure&#44there are a few bad apples in every,crate,&#44 and a few legitimate deep thinkers who sometimes get carried away . ,CONTAINER
79,flask,9, &#34 Trying to pass off a few,flasks,of blue water and dry ice as a multimillion dollar cancer research project . &#34 ,CONTENT
80,jar,9, The only answer to such rationalizations is to catch somebody with his hand in the cookie,jar,0,CONTAINER
81,kettle,9, Sapper 's design paved the way for what is still the most iconic,kettle,of all : Michael Graves ' &#34 Five O ' Clock &#34 teakettle&#44designed for Alessi and introduced in 1985&#44is conical in shape&#44with a long spout . ,CONTAINER
82,pint,9, [ From the text on a,pint,container of Hershey 's Chocolate Milk . ] ,CONTENT
83,spoon,9, The Sun called him &#34 a pampered&#44privileged young man who has achieved nothing&#44despite being born with a royal silver,spoon,in his mouth&#44despite all the undeserved advantages he has been handed . &#34 ,CONTAINER
84,vial,9, The MRC- 5 cells in the shell,vials,were fixed and permeabilized for 15 minutes in methanol : acetone ( 1 : 1 ) and then washed in PBS ( Bartels Inc .&#44Intracel Corp .&#44Frederick&#44MD&#44reconstituted in 1 liter of Millipore water&#44pH 7 . 0 - 7 . ,CONTAINER
85,bag,10, No one would be caught dead carrying a,bag,. &#34 ,CONTAINER
86,bottle,10, Grotesque examples : $ 20&#44000 watches&#44$ 14&#44000 bags&#44$ 5&#44800,bottles,of wine&#44and $ 3&#44000 sweaters are popular items&#44and some thirtysomethings are purchasing $ 10 - million apartments-- with cash . Vanity Fair exhaustively chronicles the events at Brooklyn 's 70 th precinct&#44where the &#34 Plunger Cops &#34 assaulted Abner Louima . ,DOT
87,bucket,10, The cover story argues that the vice presidency is worth more than a,bucket,of warm piss . ,CONTENT
88,container,10, Air which enters a,container,upon removal of sample should be expelled by compressing the container before reclosing&#44if possible ( i . e . ,CONTAINER
89,crate,10, Instead of noting that anybody who can control the week 's news with a press conference&#44a foreign-policy announcement&#44and a tea with domestic dissidents is no lame duck&#44the pundits indulged in psychobiography : Clinton is frustrated because &#34 the end is now in sight &#34 for his presidency ( O ' Beirne ) and he has yet to establish his &#34 legacy &#34 ( George Will&#44This Week ; Morton Kondracke&#44The McLaughlin Group ) . Because they will be chewing on the legacy thing for three more years&#44the commentarians recently ordered a,crate,of dentures . ,CONTENT
90,dish,10, Membranes were washed once more with PBS then resuspended in 1 ml PBS / 100 mm,dish,0,CONTAINER
91,jar,10, Notice the 15 chandeliers&#4410 candelabra&#44and 18 th-century Chinese porcelain,jars,along walls hung with Brussels tapestries . ,CONTAINER
92,kettle,10, In the Golden Age&#44it was used to make everyday utensils such as mugs&#44plates&#44and,kettles,0,CONTAINER
93,pint,10, A,pint,of the &#34 fortified wine &#34 that shares the book 's name would make a better investment . ,CONTENT
94,pot,10, Common recycled objects that can be found in yards are tables&#44kitchen,pots,&#44 painted tin cans&#44and car tires used as planters . ,CONTAINER
95,vial,10, Participants were instructed by pharmacists to keep all their medication in the monitoring,vial,&#44 use no other source of antihypertensive medication&#44and to remove only one dose at a time from the monitoring vial . ,CONTAINER
96,bag,11, They found numerous cash-stuffed Hefty,bag,that had been hidden in the basement ceiling-- &#34 the skim &#34 - - and five packets of white powder . ,DOT
97,bucket,11, Thereafter&#44I dropped the,bucket,down the well . ,CONTAINER
98,jar,11, These are what is sometimes referred to as black memorabilia--including Aunt Jemima cookie,jars,&#44 windup minstrel dancers&#44Amos and Andy faces&#44and the like--what another avid collector&#44Whoopi Goldberg&#44refers to as &#34 Negrobilia . &#34 ,CONTAINER
99,kettle,11, Their brief encounters with Atlantic fishermen left little impact&#44but the advent of French and later British colonizers brought&#44in exchange for their beaver pelts&#44copper,kettles,and guns&#44blankets and brandy&#44Christianity&#44measles&#44and smallpox . ,CONTAINER
100,pint,11, $ . 84 per,pint,0,CONTENT
101,spoon,11, The piece tantalizes with the news that during Camelot&#44Pierre Salinger hired a professional pickpocket to quietly recover,spoons,on their way out the door&#44and that in 1990 a Secret Service agent was convicted of stealing more than $ 7&#44000 in presidential china . ,CONTAINER
102,vial,11, And for people who are supposedly obsessed with celebrities&#44Americans seem remarkably interested in what other &#34 real &#34 people are doing--as long as what they 're doing involves either being chased down with 40,vials,of crack&#44fighting a long illness&#44driving the wrong way on a freeway&#44or getting upended off a ladder by an overly friendly springer spaniel . ,DOT
103,bucket,12, In the urethane mixing vessel operation&#44following the automated mixing and discharge of the urethane into a,bucket,&#44 the system is automatically purged with a solvent . ,CONTAINER
104,container,12, Their bodies were discovered&#44along with 15 survivors&#44inside a metal shipping,container,unloaded in Seattle . ,CONTAINER
105,dish,12, 10 6 cells were grown overnight in 6 cm diameter,dishes,with DMEM / 10 % FCS . ,CONTAINER
106,jar,12, We attached a Collison nebulizer to the drying,jar,&#44 where the aerosol is given time to dry&#44before entering the square duct through a 9 - port manifold&#44which creates a uniformly distributed aerosol . ,CONTAINER
107,kettle,12, The chirping-bird,kettle,seemed to prove that high design could also be cute . ,CONTAINER
108,plate,12, To prepare polysome samples from growing cells&#44cells were scraped from bacterial growth,plates,and suspended directly into polysome buffer . ,DOT
109,spoon,12, If you ve become an adept of the tea ceremony&#44you ll appreciate the excellent collection of 14 th-century objects : ceramic tea bowls&#44tea kettles&#44and caddies&#44as well as bamboo,spoons,&#44 whisks&#44and flower vases . ,CONTAINER
110,vial,12, Meanwhile&#44Dynabeads M- 280 Streptavidin ( 10 g / l ) was prepared by gently shaking the,vial,to obtain homogenous slurry . ,CONTAINER
111,bag,13, The key for us - - and we have to make tough decisions all the time on whether to take a case - - was visualizing what he had to do to get to the fifth floor&#44struggling with a,bag,of groceries&#44&#34 he said . ,DOT
112,bottle,13, 29 for a 24 - ounce,bottle,0,CONTAINER
113,bucket,13, ( It 's significant that the &#34 Gatorade Dump&#44&#34 where the victorious team dumps a,bucket,of Gatorade on its coach&#44was invented by Parcells ' Giants . ) ,CONTENT
114,container,13, To minimize the loss of toxicity due to volatilization of toxic constituents&#44all sample,containers,should be &#34 completely &#34 filled&#44leaving no air space between the contents and the lid . ,CONTAINER
115,crate,13, Then we would open the,crates,and remove the birds and begin the flingando . ,CONTAINER
116,dish,13, Praise goes to its new emphasis on convenience--many recipes require just 20 minutes--and its inclusion of such ethnic,dishes,as tapas and Asian noodles . ,CONTENT
117,vessel,13, But sometimes the clay,vessels,were broken accidentally by the lender before the time of return of the sheep . ,CONTAINER
118,vial,13, The adherent cells in the well were washed three times with 1 . 0 ml of PBS&#44and the cells overlaid with 400 l of lysis buffer ( 1 % Triton X- 100 in pH 7 . 5&#4420 mM HEPES buffer with 0 . 1 mM EDTA )&#44scraped&#44and collected into a glass,vial,for tocopherol analysis by HPLC&#44and for protein determination by the BCA protein assay ( Pierce&#44Rockford&#44IL ) . ,CONTAINER
